from	to	why
Assets/Game/Scripts/Agents/Modules/Facing/{WatchModule,InteractionFocusModule,IdleLookAroundModule}.cs (+ .meta)	Assets/Game/Scripts/Agents/Modules/Movement/ (or rename the folder Modules/Facing -> Modules/Look)	The folder is named after the IFacingModule channel but none of its occupants implement it. All four files in Modules/Facing are ordinary BehaviourModuleBase subclasses that CLAIM the movement frame and return MoveIntent.StopAndFace — i.e. they stop the agent to look, which is precisely the behaviour IFacingModule was introduced to avoid (see IFacingModule.cs:4-8: "That forced every combat behaviour to stop the agent in order to aim, which is what produced the stop-start shuffle"). grep -rn 'IFacingModule' over Assets/Game/Scripts confirms the ONLY implementer in the project is Modules/Combat/AgentRangedCombatModule.cs:30. The name currently tells a maintainer the opposite of the truth. Safe: same assembly (no asmdef covers Scripts/Agents or Scripts/Items — both are Assembly-CSharp), same SpaceGame.Agents namespace, and moving a .cs with its .meta preserves the GUID so the 2 prefab references to IdleLookAroundModule survive.
Assets/Game/Scripts/Agents/Modules/Combat/RocketLauncherTurret.cs (+ .meta)	Assets/Game/Scripts/Items/Artifacts/Gadgets/	It is not an agent module: plain MonoBehaviour, not BehaviourModuleBase, no AgentContext, no targeting at all — it just fires on a timer. Its only two consumers are both in the Items domain: Assets/Game/Scripts/Items/Artifacts/Gadgets/RocketTurretArtifact.cs (line 16 comment) and Assets/Game/Prefabs/Items/Artifacts/Gadgets/RocketSpawn.prefab (its single GUID reference). Same assembly, same-GUID move, so the prefab reference survives.
Assets/Game/Scripts/Agents/Modules/Movement/GroundAnchorOnLand.cs (+ .meta)	Assets/Game/Scripts/Items/Artifacts/Gadgets/	Not a behaviour module either — it is a Rigidbody freeze-on-first-contact utility with no Tick and no MoveIntent, sitting in a folder of movement modules. Its only consumer is Assets/Game/Scripts/Items/Artifacts/Gadgets/RocketTurretArtifact.cs:58-62, which does AddComponent<GroundAnchorOnLand>() on the deployed launcher; refs.tsv guid_refs = 0 because it is only ever added at runtime, so it is alive but reachable from exactly one place, in a different domain. Same assembly, safe move.
Assets/Game/Scripts/Agents/Core/EntityTargetRegistry.cs (+ .meta)	Assets/Game/Scripts/Agents/AI/Targeting/	Agents/Core/ contains exactly one file, and that file is the data source the Targeting folder queries (AgentTargeting.cs:304 EntityTargetRegistry.Query, TargetResolution.cs:49 ResolveNearest). Moving it lets Agents/Core/ be deleted and removes one of three separate folders called "Core" inside a single domain (Agents/Core, Agents/AI/Core holding AgentContext+MoveIntent, Agents/Modules/Core holding the module interfaces) — the ambiguity costs a maintainer a search every time. Static class with no serialized presence anywhere, so the move cannot break a reference; the only out-of-domain reader is Scripts/Presentation/UI/HelmetHUD/HelmetNavMarkers.cs and it uses the type name, not the path.
Assets/Game/ScriptableObjects/Items/*.asset (6 files)	deleted, with ExpeditionBackpack.prefab repointed to Assets/Game/Resources/Items/Artifacts/* — or, if the duplicates must be kept, moved under Assets/Game/Resources/Items/	InventoryItem assets only work if RegistryLoader can find them, and it only looks in `Resources.LoadAll<InventoryItem>("Items")`. An InventoryItem outside a Resources/Items folder cannot be resolved by ID, which is what breaks save/load and the networked equip path (see bugs 1-2). Having item definitions in two places at once is also the root of the duplication: every one of the six is a byte-for-byte twin of a Resources copy.
Assets/Game/ScriptableObjects/Weapons/BallLightningWeapon.asset	deleted (duplicate of Resources/Items/Artifacts/BallLightningWeapon.asset)	It is an InventoryItem filed among AgentAimProfile/AgentFireProfile/AgentWeaponDefinition assets, so ScriptableObjects/Weapons currently means two unrelated things. Removing it leaves that folder as exactly the agent-weapon profile set.
Assets/Game/Prefabs/Items/Artifacts/ArtifactResources/{BallLightningProjectile,RocketProjectile,projectile,magazine_cixin}.prefab	Assets/Game/Prefabs/Weapons/Projectiles/ (and Prefabs/Weapons/Parts/ for magazine_cixin)	None of these are artifacts. They are the runtime prefabs of the Weapons domain (BasicProjectile/BallLightningProjectile/Magazine) sitting under Prefabs/Items/Artifacts because that is where the gun prefabs happened to live. There is no Prefabs/Weapons folder at all today, while Scripts/Weapons is its own domain. Carry the .meta files.
Assets/Game/Scripts/Weapons/Core/BillboardFaceCamera.cs	Assets/Game/Scripts/Presentation/ (e.g. Presentation/Rendering/)	A 22-line generic "face the camera" component with nothing weapon-specific about it; its two users are the BallLightning projectile prefab and Environment/Structures/Facilities/RepairWorkstation.prefab, so an Environment prefab currently depends on the Weapons domain. GUID follows the .meta so prefab links survive; the namespace change is safe here because Unity resolves MonoBehaviours by GUID (this is not a SerializeReference type).
Assets/Game/Scripts/Weapons/Projectiles/BallLightningProjectile.cs	Assets/Game/Scripts/Weapons/BallLightning/	The ball-lightning family is split across two folders — Controller, BoltTargeting, Weapon and the deprecated Old file are in Weapons/BallLightning while the projectile is in Weapons/Projectiles, even though it references BallLightningController directly. Weapons/ currently mixes two grouping axes (by category: Core/Firearms/Projectiles; by feature: BallLightning); pick the feature folder for this family and leave Projectiles for the shared Projectile/BasicProjectile/IChargeable base layer.
Assets/Game/Editor/Tests/** (17 files, 2,738 lines, +17 .meta)	Assets/Game/Tests/Editor/	Two folders hold the same category of test for the same reason and compile into the same assembly. Verified: neither Assets/Game/Editor/ nor Assets/Game/Tests/Editor/ contains an .asmdef (`ls *.asmdef` in both → no matches), so both land in Assembly-CSharp-Editor — which is exactly the documented workaround for 'asmdefs cannot reference Assembly-CSharp'. Right now a contributor looking for the Backpack tests finds them in Tests/Editor and a contributor looking for the Ornithopter tests finds them in Editor/Tests. Consolidate on Assets/Game/Tests/Editor/ so all tests live under Tests/ and Editor/ holds only tools. Carry every .meta.
Assets/Game/Editor/Tests/HeadlessTestRunner.cs (+ .meta)	Assets/Game/Editor/Tools/ (or Assets/Game/Editor/Testing/)	It is not a test — it is a [MenuItem("Tools/Tests/Run EditMode Tests (headless)")] driver that shells the TestRunnerApi and writes Temp/headless_tests.txt for the MCP bridge. Filed under Tests/ it gets swept up by any 'move the tests' operation, and its own header explains it must survive independently of the run it starts.
13 fixtures in Assets/Game/Editor/Tests/ declaring `namespace SpaceGame.EditorTools`	namespace SpaceGame.Tests (or SpaceGame.EditorTests, matching Assets/Game/Tests/Editor/)	Test fixtures are sitting in the namespace reserved for editor TOOLS. Counted per folder: Tests/EditMode = {SpaceGame.Tests: 33, SpaceGame.Tests.EditMode: 4}; Tests/Editor = {SpaceGame.Tests: 4, SpaceGame.EditorTests: 5}; Editor/Tests = {SpaceGame.EditorTools: 13, SpaceGame.Tests: 3, SpaceGame.World.Tests: 1}. Five namespaces for one concern, against the stated SpaceGame.<Domain> convention. Safe to rename: NUnit fixtures are resolved by reflection over the assembly, never by SerializeReference or UnityEvent, so no serialized data stores these names.
Assets/Game/Tests/EditMode/WalkerLegSolverTests.cs and WalkerLegPoseTests.cs (+ .meta)	WalkerLimbSolverTests.cs and WalkerLimbPoseTests.cs	Filename contradicts the declared class after the Leg→Limb rename: WalkerLegSolverTests.cs declares `WalkerLimbSolverTests`, WalkerLegPoseTests.cs declares `WalkerLimbPoseTests`. Confirmed the old type is gone — grep for `WalkerLegSolver` across Assets returns 0 hits; `WalkerLimbSolver` returns 20. Rename the files (GUID follows the .meta, so nothing breaks) and leave the class names alone.
Assets/Game/Editor/Tests/SpiderWalkerGroundingTests.cs (+ .meta), class SpiderWalkerGroundingTests	DesertCrawlerGroundingTests.cs / class DesertCrawlerGroundingTests	The machine it tests was renamed. `grep SpiderWalkerLocomotion` across Assets returns 2 hits, both prose: a comment in DuneFoilLocomotion.cs and nothing else — the live type is DesertCrawlerLocomotion (9 files). The test file itself already loads Prefabs/Agents/Vehicles/Ground/RigWalker.prefab and calls GetComponent<DesertCrawlerLocomotion>() (line 48); only the filename and fixture name still say 'Spider'. The word 'SpiderWalker' appears exactly once in the file (line 18, the class declaration).
Assets/Game/Scripts/Agents/Profiles/EntitySystemSetup.cs (113 lines)	docs/architecture/ (fold into AgentSystem.md), delete the .cs	It is a documentation file wearing a .cs extension. Its body is literally `public static class EntitySystemSetup { }` preceded by 100 lines of `//` setup guide, and line 111 says so: 'This file contains no runtime code — it is documentation only.' It compiles into Assembly-CSharp for nothing, and its instructions are already stale — it points at Assets/Game/Prefabs/Player/PlayerCharacterNetworked.prefab and Assets/Game/Prefabs/entities/Robots/Phil.prefab, neither of which exists (the real player prefabs are under Assets/Game/Prefabs/Characters/Player/, and Prefabs/entities/ is gone). Cross-scope: the file lives in Scripts/, but it is documentation, so flagging it here. -113 lines from Assembly-CSharp.
Assets/Game/Art/Models/Creatures/Robotic/Ostrich/{ostrich.blend, ostrich_neck.blend, ostrich_rigged.blend, ostrich_rigged.blend1}	Assets/Game/Art/Models/_Source~/models/creatures/	Cross-scope note (Art is another auditor's domain) but it materially changed my Archive verdict, so recording it. These are Unity-VISIBLE .blend sources, which contradicts the _Source~ convention and means Unity imports them as models on top of the FBX pipeline. Note the checked-in ostrich_rigged.blend1 — .gitignore excludes *.blend1, so it is untracked cruft. Confirming ostrich.blend exists here is what proved Archive/BlenderSnapshots/ostrich_PRENECK_BACKUP is redundant.
Assets/Game/Scripts/Presentation/UI/LobbyMenu/Core/Entity.cs	(delete — see removals)	If it is kept rather than deleted, it is in the wrong folder three times over: it is not lobby code, not UI code, and not presentation code — it is a health/damage stub with a `health` field and a `die()` method. It should never have landed under Presentation/UI/LobbyMenu/Core/. Deletion is preferable to moving since the bare token `Entity` has exactly one occurrence in the whole codebase (its own declaration).
Assets/Game/Scripts/Presentation/UI/Map/MapService.cs	Assets/Game/Scripts/World/Map/MapService.cs (low priority)	MapService has no UI in it at all — it is a marker registry plus chunk-reveal tracking, and its only dependency is SpaceGame.World.WorldStreamingConfig. It sits in Presentation/UI/Map only because the (now dead) MapUI consumed it. Safe mechanically: it is referenced by GUID a905e2eb5dd284ab1b1923518d831838 from persistentScene.unity and Ferdinand_Test_world.unity, and a GUID follows its .meta, so the scene links survive. Moving a file does NOT change its namespace, so SpaceGame.Presentation.MapService keeps its name and no SerializeReference/UnityEvent binding is at risk. Only do this if you are also reorganising World/; on its own it is churn.
Assets/Game/Scripts/Presentation/UI/Map/ (mixed folder)	Assets/Game/Scripts/Presentation/UI/Map/Hologram/ + .../Screen/	ONLY IF you decide to keep the 2D map instead of deleting it. The folder currently interleaves the live 3D path (MapHologramTerrain, MapService, MapPOI, MapMarkerType) with the dead 2D path (MapUI, MapTextures, MapMarker, MapPOIController) with no way to tell them apart by name — which is precisely why the dead half survived this long. If the 2D half is deleted as recommended, no move is needed.
Assets/Game/Scripts/Presentation/UI/LobbyMenu/Flow/	(remove empty folder)	StartingGameManager.cs is the only file in Flow/. Removing it leaves an empty directory plus its .meta, which Unity will keep showing in the Project window. Delete the folder and its .meta together.
Assets/Game/Art/Materials/Terrain/{rock_01_diff_1k.jpg, rock_01_disp_1k.png, rock_01_rough_1k.jpg}	Assets/Game/Art/Textures/Terrain/	Bitmap textures living in a Materials folder. All three are live (2, 3 and 3 refs) so this is a pure move. Establishes the rule the rest of the tree already follows: Art/Materials holds .mat, Art/Textures holds bitmaps.
Assets/Game/Art/Models/Vehicles/DuneFoil/Materials/ (6 files)	Assets/Game/Art/Materials/Vehicles/DuneFoil/	The only place in the project where materials are nested under Models/. Every other material lives under Art/Materials/<category>/. DuneFoilBuilder.cs:42 hardcodes MaterialFolder + "/SailCloth_Foil.mat" so that constant must be updated in the same commit — this is the one move with a code dependency.
Assets/Game/Art/Models/Environment/Structures/Outpost/outpost.mat	Assets/Game/Art/Materials/Environment/Outpost.mat	Same rule: a .mat sitting beside its .fbx instead of in Art/Materials. It is live (2 refs: persistentScene, Ferdinand_Test_world) so the .meta must travel with it.
Assets/Game/Art/Models/Environment/Structures/TempDemo/DemoScene.fbx	Assets/Game/Art/Models/Environment/Kitbash/EnvironmentKitbash.fbx	HIGHEST-VALUE RENAME in the tree: this file has 35 referencers — it is the source mesh for every rock, cube and plant prefab in the game — yet it is named DemoScene.fbx inside a folder called TempDemo, which reads as deletable vendor demo content. Anyone doing a naive cleanup pass deletes it and breaks 35 prefabs. Renaming is GUID-safe.
Assets/Game/Art/Models/Vehicles/Legacy/ship_model 1.blend	Assets/Game/Art/Models/Vehicles/RV/ship_rv_source.blend	This is the LIVE model for ShipRV.prefab, but it is named with Unity's duplicate ' 1' suffix and parked in a folder called Legacy next to 8 dead files. Once the 8 dead blends go, Art/Models/Vehicles/Legacy/ disappears entirely.
Assets/Game/Art/Models/Environment/Structures/Outpost/robot_rig/walker_add_coxa.py and Assets/Game/Art/Models/Environment/Caves/README.md	Assets/Game/Art/Models/_Source~/components/mechanical/ and Assets/Game/Art/Models/_Source~/ respectively	A Blender build script and an authoring README sitting in the Unity-visible asset tree, where Unity imports them as TextAssets. _Source~ is the established Unity-invisible home for exactly this.
Assets/Game/Scenes/World/robotsettlement.prefab	delete (refcount 0) — otherwise Assets/Game/Prefabs/Environment/Structures/	A .prefab inside the Scenes/ tree. It is the only prefab anywhere under Scenes/ and it is dead (34 lines, refcount 0).
Assets/Game/Scenes/Tests/ (9 scenes + FerdinandWorld/ + per-scene lighting folders)	Assets/Game/Scenes/_Dev/	'Tests' collides conceptually with Assets/Game/Tests/ (the real EditMode/PlayMode test assemblies) — a reader cannot tell whether Scenes/Tests holds automated tests or scratch scenes. Leading underscore sorts it to the top and signals not-shipped. Combine with de-listing them from EditorBuildSettings.
Assets/Game/Audio/ (FMOD source banks + GUIDs.txt)	<repo-root>/Audio/FMODBanks/ (outside Assets/)	Removes the 2.69 MB source/StreamingAssets duplication at the root cause. Requires updating sourceBankPath in Assets/Plugins/FMOD/Resources/FMODStudioSettings.asset. Assets/StreamingAssets MUST stay at the Assets root (Unity requirement) — only the source moves.
Assets/Game/ScriptableObjects/Items/*.asset (6 InventoryItems)	merge into Assets/Game/Resources/Items/Artifacts/ (repoint ExpeditionBackpack.prefab first, then delete the duplicates)	InventoryItem assets are only discoverable by the runtime registry if they live under a Resources/Items path (RegistryLoader.cs:19 Resources.LoadAll<InventoryItem>("Items")). Having six of them outside Resources creates two parallel item catalogues with no way to tell which one the game actually uses.
PROPOSED TARGET TREE (new empty category folders the user authorised)	Assets/Game/Art/{Animations/{Player,Creatures*,UI}, Materials/{Characters*,Creatures*,Effects,Environment,Surfaces,Terrain,UI*,Vehicles,Weapons}, Models/{Characters,Creatures,Environment,Items,Props,Vehicles,Weapons,Kitbash*,_Source~}, Shaders/{Artifacts,Caves,Effects,Environment,Surfaces,Terrain,UI,Vehicles,Weapons,Include*}, Sprites/{Items,UI}, Textures/{Effects,Environment*,Ruins,Surfaces*,Terrain*,UI*}, VFX/, Fonts*/, Audio*/{Music,SFX,Ambience}} ; Assets/Game/Prefabs/{Agents/{Creatures,Robots,Vehicles,Weapons},Characters,Environment/{Nature/{Rocks,Plants},Props*,Sky,Structures},Items,Systems,UI,VFX,Multiplayer,_Debug*} ; Assets/Game/Scenes/{Core,Interiors,Menus,Minigames,References,World,_Dev*} ; Assets/Game/Resources/{Cameras,Interiors,Items,MapMeshes,MapTiles,Saveable*} (* = new)	Rationale per change: (1) Art/Materials and Art/Textures get the SAME subcategory names so a texture and its material are always one folder-swap apart — today Materials has 9 categories and Textures only 2, which is why bitmaps end up in Materials/Terrain. (2) Art/Models/Kitbash separates multi-object source sheets (DemoScene.fbx, 35 refs) from single-asset models, which is the distinction that made TempDemo look deletable. (3) Art/Shaders/Include collects the 3 .hlsl files that are #include'd rather than assigned, so they stop looking like orphan shaders. (4) Art/Audio/{Music,SFX,Ambience} + Art/Fonts are empty placeholders for asset types the game plausibly needs but currently has nowhere to put (all audio is FMOD banks today; all fonts come from ThirdParty/TextMesh Pro). (5) Prefabs/VisualEffects -> Prefabs/VFX and Art/VisualEffects -> Art/VFX for one name per concept. (6) Prefabs/Environment/Props for the barrels/crates that today sit in Nature/Plants. (7) Prefabs/_Debug replaces the two split Debug folders. (8) Scenes/_Dev replaces Scenes/Tests. (9) Assets/Game/Resources/Saveable is NOT cosmetic — SaveablePrefabRegistry.cs:25/66 does Resources.LoadAll<GameObject>("Saveable") and that folder does not exist, so the save system's prefab registry is empty at runtime (see bugs). Folders eliminated by this plan: Prefabs/Legacy, Prefabs/Vehicles, Prefabs/Cutscenes, Prefabs/VisualEffects/{Lighting,Debug,CutsceneExamples}, Prefabs/Environment/Nature/Plants, Art/Materials/Untitled, Art/Models/Vehicles/Legacy, Art/Models/Environment/Structures/TempDemo, Art/Brushes.
Assets/Game/Scripts/Characters/Player/Movement/Movement.cs (+ .meta)	Assets/Game/Scripts/Characters/Player/Movement/PlayerMovement.cs (+ .meta)	The file declares `public class PlayerMovement : MonoBehaviour`, not `Movement`. Unity resolves a MonoScript's class from the FILE name, so a mismatch is at best a latent trap and at worst a broken script reference. The file is a live component on Assets/Game/Prefabs/Characters/Player/PlayerCharacter.prefab (m_Script guid 751e366a69c1a8248b66ec18ac6986b9 on line 251) and is referenced by name from PlayerController.cs, GrapplingHookArtifact.cs, MountModule.Mounting.cs, SteerModule.cs and DuneFoilHelm.cs. Renaming the FILE (carrying the .meta, which holds the GUID) fixes the mismatch with zero reference churn — renaming the TYPE would not. Its .meta is also unusually truncated (fileFormatVersion + guid only, no MonoImporter block, no trailing newline), which is worth regenerating at the same time.
Assets/Game/Scripts/Core/Multiplayer/Networking.cs (+ .meta)	Assets/Game/Scripts/Core/Multiplayer/Network.cs (+ .meta)	The file declares `public static class Network` — 18 call sites use `Network.IsNetworked` / `Network.Server` / `Network.Execute`. It is not a MonoBehaviour so Unity does not enforce the match, but the mismatch makes the most-used type in the multiplayer layer unfindable by filename. Static class, so the .meta GUID has no serialized references to break.
Assets/Game/Scripts/Core/Persistence/Editor/SaveWiringValidator.cs (+ .meta)	Assets/Game/Editor/Persistence/SaveWiringValidator.cs (+ .meta)	The project's editor-code convention is Assets/Game/Editor/** (Assets/Game/Editor/AssetPipeline/, Assets/Game/Editor/Tests/, Assets/Game/Editor/Agents/). This is the only editor tool living under Assets/Game/Scripts/. Both locations compile into Assembly-CSharp-Editor (the SpaceGame.Persistence.asmdef only covers Core/Persistence/Format/), so the move is behaviour-neutral. Low priority — colocating an editor tool with its runtime system is a defensible alternative convention; the point is to pick one.
Assets/Game/Scripts/Gameplay/Minigame/Runtime/MatchSettings.cs (+ .meta)	Assets/Game/Scripts/Gameplay/Minigame/Core/MatchSettings.cs (+ .meta)	MatchSettings has no UnityEngine dependency at all (its two using directives, SpaceGame.Core and SpaceGame.Presentation, are both unused — verified). Its whole reason for sitting in Runtime/ appears to be historical; its own comment says the enums were pushed into Core 'so the rules derived from these values stay unit-testable', and ResetToDefaults/ClampToLimits/Describe are exactly the kind of logic the existing EditMode MatchRulesTests should be covering but cannot reach from outside the asmdef. Moving it under SpaceGame.Minigame.Core makes it testable at zero line cost; Assembly-CSharp (MatchManager, MinigameConfigUI) can still reference it.
