path	category	confidence	loc_or_bytes	evidence	risk
Assets/Game/Scripts/Vehicles/Rover/Core/RoverController.cs:85-88,227-231	dead-code	high	9 LOC	`private void Start()` contains only the comment '// Nothing special needed - movement controller handles physics'. `private void ChangeDirection()` is commented '// Deprecated - use GenerateRandomWaypoint instead' and has zero callers (grep across Assets/ finds only its declaration).	None.
Assets/Game/Scripts/Vehicles/DuneFoil/Sail/SailAerodynamics.cs:312-353	superseded	high	42 LOC + ~25 LOC of tests	Both `HeelAngle` overloads have zero production consumers. `grep -rn 'HeelAngle(' Assets/` returns only the two declarations plus 4 call sites in Assets/Game/Tests/EditMode/SailAerodynamicsTests.cs. Production computes heel in two places instead: SailSurface.cs:418-422 computes the MOMENT with the identical formula (`lateral * Mathf.Cos(cantRadians) + cantRightingMoment * Mathf.Sin(cantRadians)`), and DuneFoilLocomotion.cs:321 divides the summed moment by rightingMoment and clamps to maxHeel — i.e. the pure function's body, split across the two live sites.	The 4 tests that exercise it must go too (they document the cant-to-windward trade). If you would rather keep the documented behaviour, invert the dependency: have SailSurface call a `HeelMoment` helper and delete the angle half.
Assets/Game/Prefabs/Environment/Wind.prefab	duplicate	high	54 lines / 1538 bytes	guid b13e679dfc7454b8f9ac202cc4faec4f: 0 references in the full byte-scan. Near-identical (0.852 similarity, 54 lines each, 1538 vs 1536 bytes) to Assets/Game/Prefabs/Environment/Sky/Wind.prefab, which has 3 refs (DuneFoilTest.unity, Ferdinand_Test_world.unity, persistentScene.unity). Both are WindField hosts; WindField is a DuneFoil component and enforces a single scene-wide instance via a static Active, so two prefabs is a hazard as well as clutter.	Cross-scope (Prefabs/Environment). None found — the Sky/ copy is the live one.
Assets/Game/Scripts/Locomotion/Policy/GaitPatterns.cs (class TrotGait, lines 109-163)	superseded	high	55 lines (plus ~40 lines of TrotGait-only tests in 2 files)	grep -rn 'TrotGait' across Assets/ returns 4 hits, ALL in tests (SyntheticMachineTests.cs:205,221; LocomotionPolicyTests.cs:213,232) plus 2 comment mentions. No shipping machine constructs it: the 5 CreateGait() implementations use AlternatingGait (ostrich, humanoid), RippleGait (crawler), CrabWaveGait (crab), CanterGait (horse). CanterGait.cs:3-11 states explicitly 'why this is not TrotGait ... this is a new IGaitPattern rather than a tuning of the shipped one', and CanterGait.Bind() line 118 recomputes the identical diagonal-pair table itself (`trot[i] = right != front ? 0f : 0.5f`, algebraically identical to TrotGait's `left == front ? 0f : 0.5f`).	None to shipping behaviour. If a quadruped is ever added that wants a plain trot and no canter, CanterGait with trotToCanter=0.99 already covers it.
Assets/Game/Scripts/Creatures/Horse/HorseRideSpring.cs	duplicate	high	111 lines	Line-for-line clone of Assets/Game/Scripts/Creatures/Ostrich/OstrichNeckSpring.cs: same MaxSubStep constant (1f/120f), same 5 settings fields, same Value/Velocity/Reset/Configure surface, same semi-implicit Euler substep loop, same clamp-and-kill-outward-velocity block, and the same forcing expression — ostrich `(-(drive.y + drive.x)*gain, -drive.z*gain)` with drive=(fwd,up,right) vs horse `(-(drive.y + drive.z)*gain, -drive.x*gain)` with drive=body-local (right,up,fwd) are the SAME two numbers, only the packing differs. Both file headers carry the same 11-line rationale paragraph almost verbatim.	Consolidating requires renaming the type into a neutral name in SpaceGame.Locomotion, which both creature asmdefs already reference. Verified data-safe: the serialized field is a plain [System.Serializable] struct, and Ostrich.prefab lines 402-407 store it as `bounce:` with inline field names and NO struct type name, so a rename cannot orphan the values. No SerializeReference and no `rid:` entries exist anywhere in this domain (grep returned zero).
Assets/Game/Scripts/Creatures/Horse/HorseRideSpring.cs (HorseRideSpringSettings.Default, lines 35-42)	dead-code	high	8 lines	grep -rn 'HorseRideSpringSettings.Default' across Assets/ returns 0 hits. HorseSpineMotion.cs:56-59 inlines the identical numbers (stiffness 38, damping 0.4, gain 26, maxAngle 12, maxDrive 70) in its own field initializer instead of calling it. Contrast OstrichNeckSpringSettings.Default and OstrichNeckGazeSettings.Default, which ARE used (OstrichNeckMotionTests.cs:16,101).	None.
Assets/Game/Scripts/Locomotion/Rig/WalkerLimb.cs (lines 62-67, the 'classic four-joint leg's names' block)	dead-code	high	6 lines	Declares Limb.Coxa/Hip/Knee/Ankle/Foot. grep -rn '\.Coxa\b|\.Knee\b|\.Ankle\b' across all of Assets/ returns hits only in tests that use the SEPARATE accessors on WalkerLimbGeometry (RestKneeAngle) and WalkerLimbSolver.Limits/Result (Knee, AnkleAngle) — never on Limb. Shipping code uses Limb.Anchor, Limb.TipJoint, Limb.Tip, Limb.Root, Limb.Pitch exclusively.	None. The two OTHER 'classic names' blocks (WalkerLimbGeometry.cs:98-114 and WalkerLimbSolver.Types.cs:41-43,103-109) ARE used by WalkerLegSolverTests/WalkerTestRig and must stay.
Assets/Game/Scripts/Locomotion/Ground/WalkerGround.cs (the `clearAbove` parameter chain, lines 112-137 + TrySurface's public visibility)	dead-code	high	~18 lines (14 comment, 4 code) + one parameter on two public methods	`BelowUnder(at, clearAbove, out hit)` carries a 13-line comment explaining a hip-as-floor mechanism that is never exercised: the ONLY call path is LeggedLocomotion.Rig.cs:263 -> WalkerGround.Sample -> TrySurface(at, r, float.NegativeInfinity) -> BelowUnder(..., -inf), so `useHint = clearAbove > at.y` is false on every call in the project. grep for TrySurface/BelowUnder across Assets/Game/Scripts+Tests+Editor returns only WalkerGround.cs's own internal calls — no external caller of either, so TrySurface should also be private.	Keep the 'reach at least `length` BELOW the probe point' arithmetic when dropping the parameter — Below() and BelowUnder(-inf) differ: BelowUnder reaches `length` below `at`, Below reaches `length - startAbove`. Collapsing them naively shortens every foothold ray by rayStartAbove (3 m default).
Assets/Game/Prefabs/Agents/Creatures/{CrabWalker4,CrabWalker6,CrabWalker8,HorseRobot,HumanoidRobot}.prefab + Assets/Game/Scripts/Creatures/{Crab,Horse,Humanoid}/** + Assets/Game/Editor/Creatures/{CrabWalkerBuilder,HorseBuilder}.cs + Assets/Game/Tests/EditMode/{CrabLocomotionTests,CanterGaitTests,HorseLocomotionTests,HumanoidLocomotionTests,HumanoidArmSwingTests}.cs	experiment	medium	~1,500 LOC of runtime scripts (Crab 502, Horse 786, Humanoid 580 minus overlap) + 34 KB of editor builders + ~6 test files	All five prefab GUIDs (ed11f9230c1554739b00da199ccbe588, 6ab8a4f2ddf8442eaa6a353bdd260ca8, 7db63c02c84ef4d48b9867b0695ad422, d8aaa2f7e133e493cb30df949f09b2c3, acd2705fc57724707a313d7b29ea4f79) appear in NO file under Assets/ or ProjectSettings/ except their own .meta — confirmed by direct grep -rl, matching refs.tsv refcount 0 for each. By NAME they are referenced only from Assets/Game/Editor/Creatures/*Builder.cs (menu items that CREATE them) and 4 EditMode/Editor test files. Not in a Resources/ folder (Assets/Game/Resources contains only Cameras, Interiors, Items, MapMeshes, MapTiles), and the project has no Addressables (no Assets/AddressableAssetsData). By contrast Ostrich.prefab has 2 scene references (persistentScene.unity, Ferdinand_Test_world.unity). HumanoidRobot.prefab has no builder at all — CrabWalkerBuilder and HorseBuilder are the only two in Assets/Game/Editor/Creatures.	HIGH RISK OF BEING WRONG-HEADED, and this is a judgement call, not a verdict. This is recent (Aug 2026), well-documented, test-covered work and the Crab/Horse/Humanoid rigs are what proved the shared base generalises — CrabWaveGait exercises 4-8 legs on one component, HumanoidLocomotion is the only rig exercising the forward-knee BendSign path, CanterGait is the only asymmetric gait. Deleting them would remove the base's only multi-machine validation and 6 test files. Recommend the user decide per-family: if these are intended content, they need placing in a scene or a spawn table; if they were architecture proofs, the SCRIPTS are the asset worth keeping and only the unreferenced PREFABS are removable.
Assets/Game/Scripts/Creatures/{Crab,Horse,Humanoid}/SpaceGame.Creatures.*.asmdef (3 of the 4; keep one merged SpaceGame.Creatures)	duplicate	medium	3 asmdef files + 3 .meta; also -4 lines from SpaceGame.Tests.EditMode.asmdef's reference list	All four asmdefs are byte-identical except the `name` field: rootNamespace empty, references exactly ["SpaceGame.Locomotion"], autoReferenced true, no platform or define constraints. No creature assembly references any other creature assembly (grep across all .asmdef confirms only SpaceGame.Tests.EditMode and SpaceGame.Vehicles.Crawler reference them). Assets/Game/Scripts/Creatures/Drivers/ has no asmdef and correctly stays in Assembly-CSharp. Four assemblies for 1,500 LOC is the direct cause of the HorseRideSpring/CanterGait copy-paste — CanterGait.cs:180-183 says so outright: 'GaitLayout ... is internal to that assembly, so these are its two rules restated'.	Prefab component references are GUID-based (`m_Script: {guid: ...}`) and assembly-agnostic, so no prefab breaks. Verified no SerializeReference in this domain (which WOULD store the assembly name and break). Only cost: a full-domain recompile instead of per-creature, which for 1,500 LOC is noise.
Test-only / zero-reference public API across the domain	dead-code	high	~45 lines total across 8 files	Each verified by grep across Assets/Game/{Scripts,Tests,Editor}: OstrichNeckSpring.Velocity + HorseRideSpring.Velocity (0 hits); .Configure() on OstrichNeckSpring, HorseRideSpring, OstrichNeckGaze (0 hits); OstrichNeckGaze.Target and .Reset() (0 hits); OstrichNeckMotion.GazeAngles + .BounceAngles (0 hits — the tests drive OstrichNeckGaze/OstrichNeckSpring directly); WalkerArm.Unreachable (0 hits); WalkerLimbPose.Joints.Hip/Knee/Ankle (tests only, WalkerLegPoseTests.cs:56-58); WalkerLimbSolver.SoleFromResult (tests only); WalkerPath.RemainingCorners + RemainingDistance (tests only, WalkerPathTests.cs:66,115,164-190); WalkerLimbSolver.Result.Clamped is WRITTEN at WalkerLimbSolver.cs:221 and read only by tests — shipping code deliberately uses ReachFraction > 1 instead (LeggedLocomotion.Ik.cs:36-41 explains why).	The test-only ones (SoleFromResult, RemainingDistance, Joints.Hip/Knee/Ankle, Result.Clamped) are legitimate test seams — removing them means rewriting assertions. Only the true 0-hit ones (Velocity ×2, Configure ×3, Gaze.Target, Gaze.Reset, GazeAngles, BounceAngles, WalkerArm.Unreachable — ~20 lines) are free to delete.
Assets/Game/Scenes/World/Chunks/Chunk_{X}_{Y}.unity for X in 0..19, Y in 0..11 EXCLUDING (X in 0..7 AND Y in 0..5) — 192 files + 192 .meta	superseded	high	42,810,571 bytes (42.8 MB) of .unity; 41.4 MB of that is Chunk_18_10 alone	GROUND TRUTH, fully derived: 240 chunk scenes exist in Assets/Game/Scenes/World/Chunks/ (a complete 20x12 grid, Chunk_0_0..Chunk_19_11). Assets/Game/Settings/WorldStreamingConfig.asset declares gridDimensions {x:8,y:6} and exactly 48 chunks: Chunk_0_0..Chunk_7_5. Set difference = 192. `comm -13` of on-disk names vs config sceneNames returns 192 rows and ZERO config entries missing on disk. (1) None of the 192 appear in WorldStreamingConfig.asset. (2) None appear in Assets/Game/Settings/FerdinandWorldStreamingConfig.asset (that config lists only FerdinandChunk_0_0..FerdinandChunk_3_1, a separate 4x2 world in Assets/Game/Scenes/Tests/FerdinandWorld/Chunks/). (3) refs.tsv: all 192 have refcount 0 or 1, and the sole referencer on every non-zero row is ProjectSettings/EditorBuildSettings.asset. (4) DECISIVE: each of the 192 contains `m_TerrainData: {fileID: ..., guid: <G>}` where <G> is declared by NO .meta anywhere in the project — I resolved all 228 distinct TerrainData GUIDs referenced by chunk scenes: the 36 GUIDs used by the config's hasTerrain:1 chunks (cols 2..7) all map into Assets/Game/Terrain/ChunkData/, while every orphan's GUID appears in exactly ONE file — its own scene. Spot-checked 7 GUIDs with a full-project grep (3794b489/a20c5ce9/2288e721/f8a400b5/55fc30e9/2b0804a4/f82ab0bf): each returns only its own chunk scene. So all 192 already have broken Terrain references. (5) WorldStreamer never loads a chunk by name pattern — ExecuteLoad reads config.GetChunk(coord).sceneName, so a scene outside config.chunks is unreachable at runtime. (6) 187 of the 192 are boilerplate (~6.3 KB, 1 GameObject: an empty Terrain). Only 5 carry content: Chunk_18_10 (41.4 MB), Chunk_17_10 (157 KB), Chunk_19_10 (18 KB), Chunk_17_9 (12.7 KB), Chunk_18_9 (10.9 KB). (7) Chunk_18_10 is provably the stale predecessor of the live Chunk_7_5: both ~41.4 MB, both carry SettlementSpawner+SettlementBuilder+Cactus+NpcBrain, but Chunk_18_10 references 5 MonoBehaviour script GUIDs that exist nowhere in the project (acdc445562c6e420c8ef8cec6ec54ffb, d5a57f767e5e46a458fc5d3c628d0cbb, 434b1cb41931349a580b035d41199472, e03ab404b2c7f45b6930746c2df20c86, 5ab4e14ea8b148f7b3f4ef0a5fefac42 — 5 missing scripts) while Chunk_7_5's 18 script GUIDs all resolve. CAVEAT on my GUID scan: Assets/Game/Scenes/Minigames/MinigameArena.unity is stored BINARY (14.7 MB, not YAML), so ASCII GUID grep cannot see inside it. This does not affect the conclusion — chunk scenes are only ever reached through config.chunks, and every orphan is already broken.	All 192 are currently enabled:1 in EditorBuildSettings, so deleting the scenes without also deleting their EditorBuildSettings rows leaves 192 rows pointing at missing files (same defect the file already has for TestInterior/InsideRuin). Delete scenes + .meta + the matching EditorBuildSettings entries together. Before deleting Chunk_18_10 / Chunk_17_10 / Chunk_19_10 / Chunk_17_9 / Chunk_18_9, open them once and confirm nothing hand-authored is worth salvaging into the live 8x6 grid — Chunk_17_10 holds a hand-placed robot settlement (FoundationPad_Barracks x8, FoundationPad_Turret x2, FoundationPad_Eco_hub, FoundationPad_ShieldGenerator + a MapPOI) that exists nowhere else.
Assets/Game/Scenes/World/MasterScene.unity	superseded	high	284 KB (289,485 bytes)	orphans.tsv lists it (GUID 93ae716ac36a04088ad794e1810e83af appears in no other file); I re-verified with a full grep over Assets + ProjectSettings — zero hits outside its own .meta. NOT present in ProjectSettings/EditorBuildSettings.asset (I enumerated all 263 entries; MasterScene is absent while persistentScene is present). Content confirms it is the predecessor of the current streaming world: 209 objects, 9 Terrain objects named `Terrain_(1000.00, 0.00, -1000.00)` .. `Terrain_(3000.00, 0.00, 1000.00)` — a 1000 m terrain grid, superseded by the 500 m chunk grid in WorldStreamingConfig. Also carries `structures`, `temple1`, `rocks`, `environment` roots and a Directional Light.	If any of the hand-placed content (temple1, structures, rocks) has never been re-authored into the 8x6 chunk scenes, deleting this loses the only copy. Open it once and screenshot/salvage before deleting.
Assets/Game/Terrain/TerrainData/MasterScene Terrain/ (whole folder, 10 assets)	superseded	high	19 MB	refs.tsv: 9 of the 10 assets (Terrain_1_-1, Terrain_1_0, Terrain_1_1, Terrain_2_-1, Terrain_2_0, Terrain_2_1, Terrain_3_-1, Terrain_3_0, Terrain_3_1) have refcount 1 and the sole referencer is Assets/Game/Scenes/World/MasterScene.unity, which itself has 0 references and is not in EditorBuildSettings. The 10th, TerrainData_ecf7abf9-ec7b-4129-b73f-644839fd21dd.asset (1.96 MB), has refcount 0 — referenced by nothing at all. Negative-coordinate names (Terrain_1_-1) match MasterScene's 1000 m grid, not the current 8x6 config grid. The live terrain lives in Assets/Game/Terrain/ChunkData/ (36 assets, each refcount 1 from its own Chunk_X_Y.unity, cols 2..7).	Only breaks MasterScene.unity, which is itself dead. Delete as one unit with MasterScene.unity. TerrainData_ecf7abf9... (1.96 MB) is safe to delete independently — zero refs.
Assets/Game/Scripts/World/Caves/AlgaePulse.cs	experiment	high	136 LOC / 5,780 bytes	cs_report.tsv: code_refs=0, guid_refs=0. Also in cs_unreachable.tsv. Independently verified: full-project grep for the type name across Assets returns only (a) its own file and (b) four COMMENT lines in Assets/Game/Art/Shaders/Caves/AlgaeRock.shader ('set by AlgaePulse.cs'). No .unity/.prefab/.asset carries its script GUID (a5... verified via grep of the .meta GUID over Assets+ProjectSettings — zero hits). Nothing calls the public static `AlgaePulse.Instance` or `Trigger(Vector3)`. The feature is half-built: AlgaeRock.shader declares and reads `_AlgaePulseOrigins/_AlgaePulseParams/_AlgaePulseShape` globals, but because no GameObject anywhere carries AlgaePulse those globals are never set, so `_AlgaePulseParams[i].x` is always 0 and the shader's wave branch is permanently inert. Also carries debug scaffolding shipped on by default: `debugTriggerKey = Key.P` fires a wave from any keypress and `logTriggers = true` Debug.Logs every trigger.	None at runtime — nothing instantiates it. If the interaction-wave effect is still wanted, this file is the only implementation and the shader half is already written; removing it means rewriting ~130 lines later. Consider whether the wave block in AlgaeRock.shader (~40 lines around lines 102-109 and 291-293) should go at the same time, since it can never fire without this script.
Assets/Game/Scripts/World/ProceduralGeneration/Cave/Decoration/PrebuiltDecorationRules.cs	dead-code	high	180 LOC / 7,304 bytes	cs_report.tsv: code_refs=0, guid_refs=0; also in cs_unreachable.tsv. Pure `public static class` with 10 factory methods (Stalagmites, Stalactites, Boulders, DebrisPiles, BioluminescentFronds, SporePods, CrystalLattices, PulsingNodules, AlienMoss). Verified: the ONLY occurrence of the identifier anywhere in Assets outside this file is a doc-comment cross-reference — Assets/Game/Scripts/World/ProceduralGeneration/Cave/Profiles/CaveDecorationSettings.cs:8 `/// ... via the prebuilt-rule factory helpers in <see cref="PrebuiltDecorationRules"/>.` No call site. Not a ScriptableObject, not a MonoBehaviour, no CreateAssetMenu, no reflection entry point — a static class cannot be reached by SerializeReference/AddComponent/Resources.Load, so the 0-ref result cannot be a false positive of the kind flagged in the brief.	The 6 CaveProfile assets were presumably authored by hand rather than through these helpers, so nothing regresses. If deleted, also drop the dangling `<see cref>` in CaveDecorationSettings.cs:8 or the XML-doc reference will not resolve.
Assets/Game/Scripts/World/Environment/Visor/PostProcessVisor.cs	superseded	high	61 LOC / ~1.8 KB, plus one dead component slot on Main Camera.prefab	Superseded by its own sibling. The project runs URP: ProjectSettings/GraphicsSettings.asset m_CustomRenderPipeline -> guid 4b83569d67af61e458304325a23e5dfd = Assets/Game/Settings/Mobile_RPAsset.asset, whose m_RendererDataList -> guid 65bc7dbf4170f435aa868c779acfb082 = Assets/Game/Settings/PC_Renderer.asset. PC_Renderer.asset registers Assets/Game/Scripts/World/Environment/Visor/GlassDistortionRenderFeature.cs (guid e29e162683637284c921be5bfd435e6b), a ScriptableRendererFeature that does exactly the same job on the RenderGraph path and sets the same shader properties (_LensCenter, _DistortionStrength). PostProcessVisor implements the effect via `OnRenderImage`, the legacy Built-in-RP image-effect callback, which URP never invokes — so its entire body is dead. It is still attached to Assets/Game/Prefabs/Camera/Main Camera.prefab:143 (the only reference; grep of guid d9b7729b1376efa4ea9c4de0543330b1 over Assets returns that one line plus its own .meta). Also: pure debug scaffolding left in shipping code — 7 Debug.Log/LogError calls, 4 of them inside OnRenderImage (i.e. authored as per-frame logging), 2 that DO fire every session from Awake/Start. Its m_EditorClassIdentifier is `Assembly-CSharp::PostProcessVisor` (no namespace), i.e. the serialized data predates the SpaceGame.World namespace.	Must remove the MonoBehaviour from Main Camera.prefab in the same change or the prefab shows a missing script. Confirm the visor distortion visibly works in play mode first (it should — GlassDistortionRenderFeature is on the active renderer), so you know you are deleting the dead half and not the live half.
Assets/Game/Scenes/World/robotsettlement.prefab	dead-code	high	908 bytes	Read in full: a single GameObject named `robotsettlement` with ONE component, a default Transform. No children, no scripts, no renderer — a completely empty prefab. In orphans.tsv (GUID appears in no other file); refcount 0. Also in the wrong place: it is the only .prefab sitting inside Assets/Game/Scenes/World/.	None. Nothing can reference it and it contains nothing.
Assets/Game/Scenes/World/Chunks/TerrainFeatureBakes/Cliff_seed_0_Mesh.asset, Mesa_seed_0_Mesh.asset, Mesa_seed_2_Mesh.asset	generated	high	1,933,600 bytes (437 KB + 597 KB + 899 KB)	I resolved the GUID of all 42 baked mesh assets in that folder and grepped each over Assets+ProjectSettings. 39 are referenced (all by Assets/Game/Scenes/World/Chunks/Chunk_7_0.unity or Chunk_7_1.unity — the only two chunks carrying TerrainFeatureSpawner+TerrainGenManager). These 3 are referenced by nothing. Their names lack the hash suffix the other 39 carry (Cliff_seed_0_<hash>_Mesh.asset), so they are output from an earlier naming scheme of the same baker (WorldNavMeshBaker/TerrainGenManagerEditor 'Bake & Save'). Independently confirmed by orphans.tsv, which lists exactly these 3 and no other TerrainFeatureBakes asset.	None — regenerable from the TerrainFeatureSpawner seeds even if wrong.
Assets/Game/Scenes/Interiors/CaveBakes/seed_1001_Mesh.asset + seed_1001_NavMesh.asset	generated	high	817,853 bytes (762 KB + 55 KB)	refs.tsv: both refcount 0 (and in orphans.tsv). Their siblings seed_0_Mesh.asset and seed_0_NavMesh.asset have refcount 2, referenced by Assets/Game/Scenes/Interiors/AlgeaCave.unity and Assets/Game/Scenes/Interiors/SandstoneCaveInterior.unity. I confirmed both cave scenes point their CaveSpawner.bakedMesh at the SAME asset (guid e1f6a14d7b8f44d5abb51f45b1b80285 = seed_0), so seed_1001 is a bake nobody adopted.	None — regenerable via CaveSpawner 'Bake & Save' with seed 1001. Overlaps the Scenes/Interiors auditor's scope; flagging because it is cave-generation output.
